Date,Price,Open,High,Low,Change %
"Jul 31, 2020",1.1776,1.1846,1.191,1.176,-0.60%
"Jul 30, 2020",1.1847,1.1788,1.1849,1.1731,0.47%
"Jul 29, 2020",1.1792,1.1718,1.1807,1.1714,0.65%
"Jul 28, 2020",1.1716,1.1753,1.1774,1.1698,-0.30%
"Jul 27, 2020",1.1752,1.1646,1.1782,1.1637,0.82%
"Jul 26, 2020",,,,,
"Jul 25, 2020",,,,,
"Jul 24, 2020",1.1656,1.1597,1.1659,1.158,0.52%
"Jul 23, 2020",1.1596,1.1575,1.1628,1.1539,0.22%
"Jul 22, 2020",1.157,1.1528,1.1602,1.1507,0.37%
"Jul 21, 2020",1.1528,1.1447,1.154,1.1422,0.71%
"Jul 20, 2020",1.1446,1.141,1.1468,1.1401,0.16%
"Jul 19, 2020",,,,,
"Jul 18, 2020",,,,,
"Jul 17, 2020",1.1428,1.1384,1.1444,1.1377,0.39%
"Jul 16, 2020",1.1384,1.1411,1.1443,1.137,-0.24%
"Jul 15, 2020",1.1411,1.14,1.1452,1.1391,0.12%
"Jul 14, 2020",1.1398,1.1343,1.1409,1.1324,0.49%
"Jul 13, 2020",1.1342,1.13,1.1375,1.1297,0.37%
"Jul 12, 2020",,,,,
"Jul 11, 2020",,,,,
"Jul 10, 2020",1.13,1.1285,1.1326,1.1255,0.15%
"Jul 09, 2020",1.1283,1.1329,1.1372,1.1279,-0.41%
"Jul 08, 2020",1.133,1.1273,1.1352,1.1262,0.51%
"Jul 07, 2020",1.1272,1.1308,1.1334,1.1258,-0.33%
"Jul 06, 2020",1.1309,1.1242,1.1346,1.124,0.53%
"Jul 05, 2020",,,,,
"Jul 04, 2020",,,,,
"Jul 03, 2020",1.1249,1.1239,1.1254,1.1219,0.08%
"Jul 02, 2020",1.124,1.1252,1.1303,1.1222,-0.11%
"Jul 01, 2020",1.1252,1.1233,1.1276,1.1185,0.17%
"Jun 30, 2020",1.1233,1.1242,1.1263,1.1191,-0.08%
"Jun 29, 2020",1.1242,1.1227,1.1289,1.1216,0.21%
"Jun 28, 2020",,,,,
"Jun 27, 2020",,,,,
"Jun 26, 2020",1.1219,1.1218,1.1241,1.1194,0.01%
"Jun 25, 2020",1.1218,1.1251,1.1261,1.119,-0.30%
"Jun 24, 2020",1.1252,1.1308,1.1327,1.1248,-0.50%
"Jun 23, 2020",1.1308,1.1259,1.135,1.1233,0.43%
"Jun 22, 2020",1.126,1.1185,1.1271,1.1168,0.74%
"Jun 21, 2020",,,,,
"Jun 20, 2020",,,,,
"Jun 19, 2020",1.1177,1.1205,1.1255,1.1168,-0.24%
"Jun 18, 2020",1.1204,1.1244,1.1264,1.1185,-0.36%
"Jun 17, 2020",1.1244,1.1264,1.1295,1.1207,-0.17%
