Date,Price,Open,High,Low,Change %
"Jul 31, 2020",6.9752,6.9928,6.993,6.971,-0.48%
"Jul 30, 2020",7.0088,6.9953,7.0101,6.9924,0.10%
"Jul 29, 2020",7.0017,7.0008,7.0072,6.9942,0.01%
"Jul 28, 2020",7.0008,6.9878,7.0107,6.9874,0.06%
"Jul 27, 2020",6.9964,6.9996,7.0065,6.9955,-0.29%
,,,,,
,,,,,
"Jul 24, 2020",7.017,7.004,7.0247,7.0016,0.18%
"Jul 23, 2020",7.004,7.0084,7.0149,6.9906,0.05%
"Jul 22, 2020",7.0002,6.9742,7.0141,6.9646,0.28%
"Jul 21, 2020",6.9808,6.9838,6.9967,6.9799,-0.04%
"Jul 20, 2020",6.9838,6.9936,7.0023,6.9825,-0.12%
,,,,,
,,,,,
"Jul 17, 2020",6.9924,6.9955,7.0051,6.9913,0.04%
"Jul 16, 2020",6.9893,6.9844,7.0038,6.9837,0.01%
"Jul 15, 2020",6.9889,6.9931,7.0065,6.9844,-0.26%
"Jul 14, 2020",7.0075,7.0121,7.0216,7.0041,0.14%
"Jul 13, 2020",6.9974,7.0019,7.0068,6.993,-0.06%
,,,,,
,,,,,
"Jul 10, 2020",7.0019,6.9998,7.0135,6.9976,0.11%
"Jul 09, 2020",6.9942,6.9975,7.0012,6.9802,-0.15%
"Jul 08, 2020",7.0045,7.0233,7.025,7.0002,-0.13%
"Jul 07, 2020",7.014,7.0077,7.0284,7.0028,-0.07%
"Jul 06, 2020",7.0188,7.0637,7.0641,7.0157,-0.67%
,,,,,
,,,,,
"Jul 03, 2020",7.0663,7.067,7.0711,7.0598,-0.01%
"Jul 02, 2020",7.067,7.0628,7.073,7.061,-0.06%
"Jul 01, 2020",7.0712,7.0675,7.0743,7.0567,0.08%
"Jun 30, 2020",7.0655,7.0745,7.0806,7.062,-0.22%
"Jun 29, 2020",7.0811,7.0825,7.0828,7.0731,0.04%
,,,,,
,,,,,
?,,,,,
?,,,,,
"Jun 24, 2020",7.0782,7.0576,7.0792,7.0511,0.27%
"Jun 23, 2020",7.059,7.0684,7.0891,7.0571,-0.13%
"Jun 22, 2020",7.0684,7.0806,7.0826,7.0671,-0.06%
,,,,,
,,,,,
"Jun 19, 2020",7.0723,7.0897,7.0923,7.0704,-0.24%
"Jun 18, 2020",7.0894,7.0922,7.0943,7.0707,0.05%
"Jun 17, 2020",7.0855,7.0871,7.0975,7.0837,-0.01%
"Jun 16, 2020",7.0866,7.0755,7.0887,7.0686,-0.06%
"Jun 15, 2020",7.0909,7.0835,7.0991,7.0835,0.11%
,,,,,
,,,,,
"Jun 12, 2020",7.0834,7.0815,7.0891,7.0712,0.26%
"Jun 11, 2020",7.065,7.0605,7.076,7.0553,0.06%
"Jun 10, 2020",7.0609,7.0773,7.0852,7.0569,-0.23%
"Jun 09, 2020",7.0773,7.075,7.0932,7.0699,0.08%
"Jun 08, 2020",7.0715,7.0834,7.0915,7.0693,-0.15%
,,,,,
,,,,,
"Jun 05, 2020",7.082,7.1067,7.1149,7.0808,-0.40%
"Jun 04, 2020",7.1102,7.1187,7.1311,7.1062,-0.08%
"Jun 03, 2020",7.1157,7.0912,7.1263,7.091,0.20%
"Jun 02, 2020",7.1014,7.1153,7.1238,7.0976,-0.37%
"Jun 01, 2020",7.1278,7.1151,7.14,7.1099,-0.13%
,,,,,
,,,,,
"May 29, 2020",7.1372,7.1577,7.1578,7.1314,-0.13%
"May 28, 2020",7.1463,7.1697,7.1709,7.1441,-0.33%
"May 27, 2020",7.1697,7.1355,7.18,7.134,0.49%
"May 26, 2020",7.135,7.1333,7.1395,7.1259,-0.03%
"May 25, 2020",7.1368,7.1324,7.1451,7.1322,0.09%
,,,,,
,,,,,
