Date,Price,Open,High,Low,Change %
"Jul 31, 2020",105.89,104.71,106.07,104.18,1.11%
"Jul 30, 2020",104.74,104.92,105.31,104.68,-0.18%
"Jul 29, 2020",104.92,105.06,105.25,104.76,-0.16%
"Jul 28, 2020",105.09,105.36,105.7,104.95,-0.27%
"Jul 27, 2020",105.38,105.97,106.21,105.11,-0.72%
"Jul 26, 2020",,,,,
"Jul 25, 2020",,,,,
"Jul 24, 2020",106.14,106.86,106.92,105.68,-0.68%
"Jul 23, 2020",106.86,107.15,107.24,106.71,-0.27%
"Jul 22, 2020",107.15,106.78,107.29,106.71,0.35%
"Jul 21, 2020",106.78,107.26,107.38,106.68,-0.45%
"Jul 20, 2020",107.25,107.11,107.53,107.01,0.23%
"Jul 19, 2020",,,,,
"Jul 18, 2020",,,,,
"Jul 17, 2020",107,107.26,107.37,106.93,-0.25%
"Jul 16, 2020",107.27,106.93,107.41,106.83,0.31%
"Jul 15, 2020",106.94,107.23,107.32,106.66,-0.28%
"Jul 14, 2020",107.25,107.29,107.44,107.11,-0.03%
"Jul 13, 2020",107.28,106.9,107.33,106.78,0.35%
"Jul 12, 2020",,,,,
"Jul 11, 2020",,,,,
"Jul 10, 2020",106.9,107.21,107.27,106.64,-0.28%
"Jul 09, 2020",107.21,107.31,107.41,107.1,-0.05%
"Jul 08, 2020",107.26,107.52,107.71,107.19,-0.24%
"Jul 07, 2020",107.52,107.35,107.8,107.24,0.14%
"Jul 06, 2020",107.36,107.5,107.78,107.25,-0.13%
"Jul 05, 2020",,,,,
"Jul 04, 2020",,,,,
"Jul 03, 2020",107.51,107.5,107.58,107.43,0.01%
"Jul 02, 2020",107.5,107.47,107.74,107.33,0.02%
"Jul 01, 2020",107.47,107.93,108.17,107.36,-0.43%
"Jun 30, 2020",107.93,107.57,108,107.52,0.34%
"Jun 29, 2020",107.57,107.19,107.89,107.04,0.32%
"Jun 28, 2020",,,,,
"Jun 27, 2020",,,,,
"Jun 26, 2020",107.22,107.24,107.37,106.79,0.02%
"Jun 25, 2020",107.2,107.06,107.46,106.99,0.15%
"Jun 24, 2020",107.04,106.52,107.08,106.38,0.48%
"Jun 23, 2020",106.53,106.91,107.23,106.07,-0.34%
"Jun 22, 2020",106.89,106.9,107.02,106.76,0.00%
"Jun 21, 2020",,,,,
"Jun 20, 2020",,,,,
"Jun 19, 2020",106.89,106.97,107.07,106.76,-0.08%
"Jun 18, 2020",106.97,107,107.14,106.67,-0.03%
"Jun 17, 2020",107,107.35,107.46,106.95,-0.31%
"Jun 16, 2020",107.33,107.33,107.64,107.21,0.01%
"Jun 15, 2020",107.32,107.33,107.58,107,-0.03%
"Jun 14, 2020",,,,,
"Jun 13, 2020",,,,,
"Jun 12, 2020",107.36,106.88,107.56,106.58,0.46%
"Jun 11, 2020",106.86,107.13,107.24,106.57,-0.23%
"Jun 10, 2020",107.11,107.72,107.89,106.99,-0.58%
"Jun 09, 2020",107.74,108.44,108.55,107.61,-0.64%
"Jun 08, 2020",108.43,109.68,109.7,108.24,-1.06%
"Jun 07, 2020",,,,,
"Jun 06, 2020",,,,,
"Jun 05, 2020",109.59,109.14,109.86,109.04,0.42%
"Jun 04, 2020",109.14,108.89,109.2,108.61,0.22%
"Jun 03, 2020",108.9,108.68,109,108.42,0.21%
"Jun 02, 2020",108.68,107.59,108.78,107.5,1.01%
"Jun 01, 2020",107.59,107.74,107.86,107.38,-0.18%
"May 31, 2020",,,,,
"May 30, 2020",,,,,
"May 29, 2020",107.79,107.67,107.9,107.07,0.13%
"May 28, 2020",107.64,107.72,107.9,107.57,-0.07%
"May 27, 2020",107.72,107.54,107.96,107.36,0.16%
"May 26, 2020",107.54,107.71,107.93,107.4,-0.15%
"May 25, 2020",107.71,107.58,107.79,107.56,0.07%
"May 24, 2020",,,,,
"May 23, 2020",,,,,
"May 22, 2020",107.63,107.61,107.77,107.32,0.00%
"May 21, 2020",107.62,107.5,107.86,107.47,0.09%
"May 20, 2020",107.53,107.71,107.99,107.33,-0.17%
"May 19, 2020",107.71,107.32,108.09,107.29,0.34%
"May 18, 2020",107.35,107.08,107.51,107.04,0.29%
"May 17, 2020",,,,,
"May 16, 2020",,,,,
"May 15, 2020",107.04,107.25,107.44,106.85,-0.21%
"May 14, 2020",107.25,107.04,107.38,106.77,0.21%
"May 13, 2020",107.03,107.11,107.28,106.74,-0.11%
"May 12, 2020",107.14,107.68,107.71,107.12,-0.49%
"May 11, 2020",107.68,106.64,107.78,106.54,0.95%
"May 10, 2020",,,,,
"May 09, 2020",,,,,
"May 08, 2020",106.67,106.29,106.75,106.22,0.36%
"May 07, 2020",106.29,106.11,106.67,105.99,0.12%
"May 06, 2020",106.15,106.61,106.64,105.98,-0.41%
"May 05, 2020",106.6,106.78,106.91,106.42,-0.14%
