Date,Price,Open,High,Low,Change %
"Jul 31, 2020","1,194.09","1,189.73","1,196.11","1,186.27",0.37%
"Jul 30, 2020","1,189.73","1,190.04","1,198.22","1,187.59",-0.03%
"Jul 29, 2020","1,190.04","1,199.54","1,200.05","1,189.76",-0.79%
"Jul 28, 2020","1,199.55","1,196.07","1,202.16","1,190.10",0.29%
"Jul 27, 2020","1,196.07","1,201.49","1,202.32","1,194.12",-0.46%
"Jul 26, 2020",,,,,
"Jul 25, 2020",,,,,
"Jul 24, 2020","1,201.59","1,201.95","1,204.59","1,198.71",-0.03%
"Jul 23, 2020","1,201.95","1,197.38","1,203.85","1,195.58",0.38%
"Jul 22, 2020","1,197.38","1,194.03","1,199.91","1,192.29",0.28%
"Jul 21, 2020","1,194.04","1,201.02","1,202.02","1,192.34",-0.58%
"Jul 20, 2020","1,201.02","1,203.53","1,206.93","1,200.46",-0.24%
"Jul 19, 2020",,,,,
"Jul 18, 2020",,,,,
"Jul 17, 2020","1,203.94","1,205.23","1,207.35","1,202.92",-0.11%
"Jul 16, 2020","1,205.23","1,201.00","1,207.60","1,200.08",0.35%
"Jul 15, 2020","1,201.00","1,205.01","1,205.49","1,198.81",-0.33%
"Jul 14, 2020","1,205.01","1,203.87","1,208.74","1,203.07",0.09%
"Jul 13, 2020","1,203.87","1,200.52","1,204.48","1,198.69",0.27%
"Jul 12, 2020",,,,,
"Jul 11, 2020",,,,,
"Jul 10, 2020","1,200.62","1,197.06","1,206.03","1,196.18",0.30%
"Jul 09, 2020","1,197.08","1,192.68","1,199.13","1,191.04",0.36%
"Jul 08, 2020","1,192.85","1,196.84","1,199.53","1,192.08",-0.33%
"Jul 07, 2020","1,196.84","1,192.04","1,197.78","1,189.23",0.40%
"Jul 06, 2020","1,192.05","1,199.66","1,200.10","1,191.11",-0.62%
"Jul 05, 2020",,,,,
"Jul 04, 2020",,,,,
"Jul 03, 2020","1,199.43","1,199.25","1,202.47","1,197.77",0.02%
"Jul 02, 2020","1,199.25","1,201.67","1,204.15","1,196.68",-0.20%
"Jul 01, 2020","1,201.67","1,199.44","1,205.05","1,197.92",0.19%
"Jun 30, 2020","1,199.44","1,199.66","1,204.68","1,195.09",-0.02%
"Jun 29, 2020","1,199.66","1,203.63","1,205.96","1,197.46",-0.35%
"Jun 28, 2020",,,,,
"Jun 27, 2020",,,,,
"Jun 26, 2020","1,203.92","1,202.36","1,204.83","1,197.00",0.13%
"Jun 25, 2020","1,202.36","1,206.20","1,209.08","1,200.91",-0.32%
"Jun 24, 2020","1,206.20","1,208.45","1,208.87","1,198.71",-0.19%
"Jun 23, 2020","1,208.46","1,209.53","1,216.40","1,205.47",-0.09%
"Jun 22, 2020","1,209.53","1,211.89","1,216.35","1,208.77",-0.20%
"Jun 21, 2020",,,,,
"Jun 20, 2020",,,,,
"Jun 19, 2020","1,211.98","1,212.60","1,214.16","1,205.62",-0.05%
"Jun 18, 2020","1,212.59","1,215.53","1,218.09","1,207.76",-0.24%
"Jun 17, 2020","1,215.53","1,212.29","1,219.26","1,210.35",0.27%
"Jun 16, 2020","1,212.29","1,208.65","1,215.22","1,204.09",0.30%
"Jun 15, 2020","1,208.65","1,203.61","1,217.13","1,203.16",0.41%
