Date,Price,Open,High,Low,Change %
"Jul 31, 2020",0.9002,0.9046,0.9065,0.8979,-0.50%
"Jul 30, 2020",0.9047,0.9072,0.9082,0.9014,-0.29%
"Jul 29, 2020",0.9074,0.906,0.909,0.9033,0.15%
"Jul 28, 2020",0.906,0.9122,0.9136,0.9051,-0.69%
"Jul 27, 2020",0.9122,0.9111,0.9149,0.9094,0.13%
"Jul 26, 2020",,,,,
"Jul 25, 2020",,,,,
"Jul 24, 2020",0.9111,0.9101,0.9126,0.9083,0.11%
"Jul 23, 2020",0.9101,0.9086,0.9126,0.9077,0.17%
"Jul 22, 2020",0.9086,0.9054,0.9138,0.905,0.35%
"Jul 21, 2020",0.9054,0.904,0.9058,0.8999,0.15%
"Jul 20, 2020",0.904,0.909,0.914,0.9028,-0.59%
"Jul 19, 2020",,,,,
"Jul 18, 2020",,,,,
"Jul 17, 2020",0.9093,0.9069,0.9137,0.9057,0.25%
"Jul 16, 2020",0.9071,0.9069,0.9097,0.9055,0.01%
"Jul 15, 2020",0.9069,0.9081,0.9087,0.9042,-0.13%
"Jul 14, 2020",0.9081,0.9033,0.9115,0.9026,0.53%
"Jul 13, 2020",0.9033,0.8957,0.9041,0.8944,0.90%
"Jul 12, 2020",,,,,
"Jul 11, 2020",,,,,
"Jul 10, 2020",0.8953,0.8951,0.8971,0.8936,0.00%
"Jul 09, 2020",0.8953,0.8984,0.9002,0.8944,-0.35%
"Jul 08, 2020",0.8984,0.8988,0.9013,0.8973,-0.04%
"Jul 07, 2020",0.8987,0.9054,0.906,0.8964,-0.73%
"Jul 06, 2020",0.9053,0.9003,0.9069,0.9003,0.48%
"Jul 05, 2020",,,,,
"Jul 04, 2020",,,,,
"Jul 03, 2020",0.901,0.9015,0.9031,0.9,-0.06%
"Jul 02, 2020",0.9015,0.9021,0.9036,0.9002,-0.06%
"Jul 01, 2020",0.902,0.9057,0.9081,0.9011,-0.42%
"Jun 30, 2020",0.9058,0.9141,0.9146,0.9056,-0.90%
"Jun 29, 2020",0.914,0.9102,0.9179,0.9083,0.50%
"Jun 28, 2020",,,,,
"Jun 27, 2020",,,,,
"Jun 26, 2020",0.9095,0.9036,0.9102,0.9023,0.68%
"Jun 25, 2020",0.9033,0.9059,0.9067,0.9,-0.29%
"Jun 24, 2020",0.906,0.9033,0.9075,0.9015,0.32%
