Date,Price,Open,High,Low,Change %
"Jul 31, 2020",0.7642,0.7635,0.7652,0.7592,0.08%
"Jul 30, 2020",0.7637,0.7693,0.7725,0.7631,-0.75%
"Jul 29, 2020",0.7695,0.7733,0.7745,0.7684,-0.50%
"Jul 28, 2020",0.7733,0.7763,0.779,0.772,-0.38%
"Jul 27, 2020",0.7763,0.7821,0.7825,0.775,-0.70%
"Jul 26, 2020",,,,,
"Jul 25, 2020",,,,,
"Jul 24, 2020",0.7817,0.7849,0.7864,0.781,-0.40%
"Jul 23, 2020",0.7849,0.7853,0.7891,0.7836,-0.06%
"Jul 22, 2020",0.7853,0.7854,0.7909,0.7847,-0.03%
"Jul 21, 2020",0.7855,0.79,0.7905,0.7832,-0.54%
"Jul 20, 2020",0.7897,0.7958,0.7989,0.7895,-0.75%
"Jul 19, 2020",,,,,
"Jul 18, 2020",,,,,
"Jul 17, 2020",0.7957,0.7967,0.7993,0.7952,-0.14%
"Jul 16, 2020",0.7968,0.7947,0.7987,0.7921,0.25%
"Jul 15, 2020",0.7948,0.7966,0.797,0.7905,-0.24%
"Jul 14, 2020",0.7967,0.7965,0.8013,0.7957,0.04%
"Jul 13, 2020",0.7964,0.7929,0.7968,0.7894,0.52%
"Jul 12, 2020",,,,,
"Jul 11, 2020",,,,,
"Jul 10, 2020",0.7922,0.7933,0.7958,0.7896,-0.13%
"Jul 09, 2020",0.7933,0.7929,0.7937,0.7892,0.05%
"Jul 08, 2020",0.7929,0.7973,0.7995,0.7921,-0.55%
"Jul 07, 2020",0.7973,0.8007,0.8024,0.7941,-0.40%
"Jul 06, 2020",0.8005,0.8009,0.8026,0.7987,-0.06%
"Jul 05, 2020",,,,,
"Jul 04, 2020",,,,,
"Jul 03, 2020",0.8009,0.8021,0.804,0.8004,-0.14%
"Jul 02, 2020",0.8021,0.8015,0.8029,0.798,0.06%
"Jul 01, 2020",0.8016,0.8064,0.8092,0.8005,-0.59%
"Jun 30, 2020",0.8064,0.8131,0.8158,0.8063,-0.82%
"Jun 29, 2020",0.8131,0.8104,0.8163,0.8071,0.30%
"Jun 28, 2020",,,,,
"Jun 27, 2020",,,,,
"Jun 26, 2020",0.8107,0.8051,0.8121,0.804,0.67%
"Jun 25, 2020",0.8053,0.8051,0.8072,0.8022,0.02%
"Jun 24, 2020",0.8051,0.7988,0.8055,0.7972,0.81%
"Jun 23, 2020",0.7987,0.8021,0.8044,0.7979,-0.45%
"Jun 22, 2020",0.8023,0.8094,0.8107,0.8014,-0.85%
"Jun 21, 2020",,,,,
"Jun 20, 2020",,,,,
"Jun 19, 2020",0.8092,0.8048,0.8102,0.8028,0.54%
"Jun 18, 2020",0.8048,0.7965,0.8064,0.7957,1.06%
"Jun 17, 2020",0.7964,0.7954,0.7993,0.7944,0.16%
"Jun 16, 2020",0.7951,0.7933,0.7966,0.7881,0.21%
"Jun 15, 2020",0.7934,0.798,0.803,0.7932,-0.50%
"Jun 14, 2020",,,,,
"Jun 13, 2020",,,,,
"Jun 12, 2020",0.7973,0.7936,0.8017,0.7902,0.49%
"Jun 11, 2020",0.7935,0.7846,0.7946,0.784,1.15%
"Jun 10, 2020",0.7845,0.7855,0.7871,0.7804,-0.15%
"Jun 09, 2020",0.7857,0.786,0.7926,0.7839,-0.04%
"Jun 08, 2020",0.786,0.7886,0.7919,0.7851,-0.46%
"Jun 07, 2020",,,,,
"Jun 06, 2020",,,,,
"Jun 05, 2020",0.7896,0.7939,0.7947,0.7854,-0.54%
"Jun 04, 2020",0.7939,0.7952,0.8,0.7915,-0.17%
"Jun 03, 2020",0.7952,0.7968,0.7972,0.7926,-0.19%
"Jun 02, 2020",0.7968,0.8,0.8014,0.7951,-0.45%
"Jun 01, 2020",0.8004,0.8105,0.8116,0.7995,-1.18%
"May 31, 2020",,,,,
"May 30, 2020",,,,,
"May 29, 2020",0.8099,0.8117,0.8136,0.8067,-0.22%
