Date,Link,Title,Venue,Language
2020-01-08 22:59:22+00:00,https://www.20min.ch/ro/news/monde/story/11573120,20min - Un nouveau coronavirus apparaît en Chine,20 Minutes (FR),FR
2020-01-10 06:23:11.871000+00:00,https://www.nzz.ch/wissenschaft/ein-neuer-typ-des-coronavirus-soll-hinter-einer-raetselhaften-lungenkrankheits-epidemie-in-china-stecken-ld.1532877,Coronavirus soll Lungenkrankheit in China ausgelöst haben | NZZ,Neue Zürcher Zeitung,DE
2020-01-15 10:26:10.329000+00:00,https://www.nzz.ch/wissenschaft/erster-todesfall-durch-raetselhafte-neue-lungenkrankheit-in-china-ld.1533339,Chinesisches Coronavirus erstmals im Ausland nachgewiesen | NZZ,Neue Zürcher Zeitung,DE
2020-01-21 10:44:18.232000+00:00,https://www.nzz.ch/meinung/das-neue-coronavirus-ist-ansteckender-als-zunaechst-gedacht-aber-es-ist-bekaempfbar-ld.1535365,Neues Coronavirus in China: Gefährlich aber bekämpfbar,Neue Zürcher Zeitung,DE
2020-01-21 19:02:00+00:00,https://www.20min.ch/ausland/news/story/Erster-Fall-von-Coronavirus-in-den-USA-17292296,20min - Erster Fall von Coronavirus in den USA,20 Minuten (DE),DE
2020-01-21 21:35:28+00:00,https://www.tagesanzeiger.ch/wissen/medizin-und-psychologie/Coronavirus-aus-China-gelangt-in-die-USA/story/19777959,Coronavirus aus China gelangt in die USA | Tages-Anzeiger,Tages Anzeiger,DE
2020-01-22 02:56:00+00:00,https://www.20min.ch/ro/news/monde/story/Le-coronavirus-pourrait--muter--18922361,20min - Le risque de mutation du coronavirus inquiète,20 Minutes (FR),FR
2020-01-22 07:09:18.614000+00:00,https://www.nzz.ch/panorama/china-ein-neuartiges-coronavirus-breitet-sich-aus-ld.1535081,China: Ein neuartiges Coronavirus breitet sich aus,Neue Zürcher Zeitung,DE
2020-01-22 07:49:43+00:00,https://www.24heures.ch/suisse/coronavirus-chine-fautil-s-inquieter-suisse/story/26070961,Coronavirus en Chine: faut-il s'inquiéter en Suisse? | 24 heures,24 heures,FR
2020-01-22 10:21:38.383800+00:00,https://www.blick.ch/news/ausland/erreger-breitet-sich-aus-erste-person-in-den-usa-mit-coronavirus-angesteckt-id15713381.html,Coronavirus aus China: Erste Person in den USA angesteckt ,Blick,DE
2020-01-22 14:10:00+00:00,https://www.20min.ch/wissen/news/story/-Schweiz-ist-sehr-gut-aufs-Coronavirus-vorbereitet--20895828,20min - «Schweiz ist sehr gut aufs Coronavirus vorbereitet»,20 Minuten (DE),DE
2020-01-22 14:56:31+00:00,https://www.aargauerzeitung.ch/leben/leben/unbekanntes-corona-virus-sorgt-fuer-unsicherheit-kriegen-wir-den-neuen-krankheitserreger-in-den-griff-136258476,Unbekanntes Corona-Virus sorgt für Unsicherheit – kriegen wir den neuen Krankheitserreger in den Griff? - Leben - Wissen - Aargauer Zeitung,Aargauer Zeitung,DE
