Date,Price,Open,High,Low,Change %
"Jul 31, 2020",1.309,1.3098,1.3171,1.3069,-0.04%
"Jul 30, 2020",1.3095,1.2997,1.3103,1.2944,0.76%
"Jul 29, 2020",1.2996,1.2932,1.3013,1.2911,0.49%
"Jul 28, 2020",1.2932,1.2882,1.2953,1.2838,0.38%
"Jul 27, 2020",1.2882,1.2786,1.2903,1.278,0.72%
"Jul 26, 2020",1.2882,1.2786,1.2903,1.278,0.72%
"Jul 25, 2020",1.2882,1.2786,1.2903,1.278,0.72%
"Jul 24, 2020",1.2791,1.2741,1.2804,1.2717,0.39%
"Jul 23, 2020",1.2742,1.2734,1.2761,1.2672,0.06%
"Jul 22, 2020",1.2734,1.2733,1.2744,1.2644,0.02%
"Jul 21, 2020",1.2731,1.2658,1.2768,1.265,0.54%
"Jul 20, 2020",1.2662,1.2565,1.2666,1.2517,0.75%
"Jul 19, 2020",1.2662,1.2565,1.2666,1.2517,0.75%
"Jul 18, 2020",1.2662,1.2565,1.2666,1.2517,0.75%
"Jul 17, 2020",1.2567,1.2552,1.2575,1.251,0.14%
"Jul 16, 2020",1.255,1.2584,1.2625,1.252,-0.25%
"Jul 15, 2020",1.2582,1.2552,1.2651,1.2548,0.24%
"Jul 14, 2020",1.2551,1.2558,1.2567,1.2479,-0.02%
"Jul 13, 2020",1.2554,1.2612,1.2667,1.255,-0.54%
"Jul 12, 2020",1.2554,1.2612,1.2667,1.255,-0.54%
"Jul 11, 2020",1.2554,1.2612,1.2667,1.255,-0.54%
"Jul 10, 2020",1.2622,1.2607,1.2665,1.2566,0.12%
"Jul 09, 2020",1.2607,1.2614,1.2671,1.26,-0.04%
"Jul 08, 2020",1.2611,1.2542,1.2624,1.2508,0.55%
"Jul 07, 2020",1.2542,1.2492,1.2593,1.2463,0.39%
"Jul 06, 2020",1.2493,1.2485,1.2521,1.2459,0.06%
"Jul 05, 2020",1.2493,1.2485,1.2521,1.2459,0.06%
"Jul 04, 2020",1.2493,1.2485,1.2521,1.2459,0.06%
"Jul 03, 2020",1.2485,1.2465,1.2494,1.2437,0.14%
"Jul 02, 2020",1.2467,1.2476,1.2531,1.2456,-0.05%
"Jul 01, 2020",1.2474,1.2401,1.2492,1.2358,0.59%
"Jun 30, 2020",1.2401,1.2298,1.2402,1.2257,0.83%
"Jun 29, 2020",1.2299,1.234,1.2391,1.2251,-0.30%
"Jun 28, 2020",1.2299,1.234,1.2391,1.2251,-0.30%
"Jun 27, 2020",1.2299,1.234,1.2391,1.2251,-0.30%
"Jun 26, 2020",1.2335,1.2421,1.2438,1.2313,-0.66%
"Jun 25, 2020",1.2418,1.2419,1.2465,1.2388,-0.02%
"Jun 24, 2020",1.242,1.2521,1.2543,1.2414,-0.79%
"Jun 23, 2020",1.252,1.2467,1.2533,1.2431,0.45%
"Jun 22, 2020",1.2463,1.2356,1.2478,1.2335,0.85%
"Jun 21, 2020",1.2463,1.2356,1.2478,1.2335,0.85%
"Jun 20, 2020",1.2463,1.2356,1.2478,1.2335,0.85%
"Jun 19, 2020",1.2358,1.2421,1.2457,1.2343,-0.55%
"Jun 18, 2020",1.2426,1.2556,1.2568,1.2401,-1.04%
"Jun 17, 2020",1.2557,1.2573,1.2589,1.251,-0.16%
"Jun 16, 2020",1.2577,1.2605,1.2688,1.2553,-0.21%
"Jun 15, 2020",1.2604,1.2531,1.2608,1.2454,0.50%
"Jun 14, 2020",1.2604,1.2531,1.2608,1.2454,0.50%
"Jun 13, 2020",1.2604,1.2531,1.2608,1.2454,0.50%
"Jun 12, 2020",1.2542,1.2601,1.2655,1.2473,-0.48%
"Jun 11, 2020",1.2602,1.2745,1.2756,1.2586,-1.13%
"Jun 10, 2020",1.2747,1.2731,1.2814,1.2706,0.13%
"Jun 09, 2020",1.2731,1.2723,1.2757,1.2617,0.06%
"Jun 08, 2020",1.2723,1.2681,1.2737,1.2628,0.46%
"Jun 07, 2020",1.2723,1.2681,1.2737,1.2628,0.46%
"Jun 06, 2020",1.2723,1.2681,1.2737,1.2628,0.46%
"Jun 05, 2020",1.2665,1.2607,1.2732,1.2582,0.55%
"Jun 04, 2020",1.2595,1.2576,1.2634,1.25,0.17%
"Jun 03, 2020",1.2574,1.255,1.2616,1.2544,0.19%
"Jun 02, 2020",1.255,1.2501,1.2577,1.2478,0.45%
"Jun 01, 2020",1.2494,1.2339,1.2507,1.2322,1.20%
"May 31, 2020",1.2494,1.2339,1.2507,1.2322,1.20%
"May 30, 2020",1.2494,1.2339,1.2507,1.2322,1.20%
"May 29, 2020",1.2346,1.232,1.2395,1.2291,0.21%
"May 28, 2020",1.232,1.2261,1.2345,1.2234,0.56%
"May 27, 2020",1.2252,1.2332,1.2355,1.2205,-0.66%
"May 26, 2020",1.2333,1.219,1.2364,1.2179,1.18%
"May 25, 2020",1.219,1.2179,1.2205,1.2163,0.19%
"May 24, 2020",1.219,1.2179,1.2205,1.2163,0.19%
"May 23, 2020",1.219,1.2179,1.2205,1.2163,0.19%
"May 22, 2020",1.2166,1.2226,1.2242,1.2161,-0.47%
"May 21, 2020",1.2224,1.224,1.225,1.2185,-0.13%
"May 20, 2020",1.2241,1.2241,1.2289,1.2221,-0.10%
"May 19, 2020",1.2253,1.2194,1.2297,1.2184,0.49%
"May 18, 2020",1.2193,1.2086,1.2228,1.2075,0.72%
"May 17, 2020",1.2193,1.2086,1.2228,1.2075,0.72%
"May 16, 2020",1.2193,1.2086,1.2228,1.2075,0.72%
"May 15, 2020",1.2106,1.2222,1.2239,1.2101,-1.00%
"May 14, 2020",1.2228,1.2231,1.2242,1.2165,-0.02%
"May 13, 2020",1.223,1.226,1.2341,1.221,-0.25%
"May 12, 2020",1.2261,1.2334,1.2377,1.2255,-0.61%
"May 11, 2020",1.2336,1.2406,1.2438,1.2284,-0.58%
"May 10, 2020",1.2336,1.2406,1.2438,1.2284,-0.58%
"May 09, 2020",1.2336,1.2406,1.2438,1.2284,-0.58%
"May 08, 2020",1.2409,1.2364,1.2469,1.235,0.37%
"May 07, 2020",1.2363,1.2347,1.2418,1.2265,0.16%
"May 06, 2020",1.2343,1.2435,1.2451,1.2335,-0.75%
"May 05, 2020",1.2436,1.2443,1.2485,1.2421,-0.06%
"May 04, 2020",1.2444,1.2499,1.2504,1.2405,-0.48%
"May 03, 2020",1.2444,1.2499,1.2504,1.2405,-0.48%
"May 02, 2020",1.2444,1.2499,1.2504,1.2405,-0.48%
"May 01, 2020",1.2504,1.2599,1.2602,1.2483,-0.71%
"Apr 30, 2020",1.2594,1.2468,1.2643,1.2428,1.01%
"Apr 29, 2020",1.2468,1.2425,1.2487,1.2388,0.35%
"Apr 28, 2020",1.2425,1.2432,1.2519,1.2404,-0.04%
"Apr 27, 2020",1.2429,1.2369,1.2456,1.2359,0.49%
"Apr 26, 2020",1.2429,1.2369,1.2456,1.2359,0.49%
"Apr 25, 2020",1.2429,1.2369,1.2456,1.2359,0.49%
"Apr 24, 2020",1.2369,1.2344,1.2378,1.2298,0.20%
"Apr 23, 2020",1.2344,1.2334,1.2416,1.2307,0.08%
"Apr 22, 2020",1.2334,1.2294,1.2387,1.2273,0.32%
"Apr 21, 2020",1.2294,1.2437,1.2451,1.2247,-1.15%
"Apr 20, 2020",1.2437,1.2487,1.2505,1.2415,-0.51%
"Apr 19, 2020",1.2437,1.2487,1.2505,1.2415,-0.51%
"Apr 18, 2020",1.2437,1.2487,1.2505,1.2415,-0.51%
"Apr 17, 2020",1.2501,1.2457,1.2523,1.2407,0.35%
"Apr 16, 2020",1.2457,1.2514,1.2531,1.2407,-0.47%
"Apr 15, 2020",1.2516,1.2616,1.2631,1.2437,-0.86%
"Apr 14, 2020",1.2624,1.2514,1.2648,1.2503,0.90%
"Apr 13, 2020",1.2512,1.2464,1.2537,1.245,0.46%
"Apr 12, 2020",1.2512,1.2464,1.2537,1.245,0.46%
"Apr 11, 2020",1.2512,1.2464,1.2537,1.245,0.46%
"Apr 10, 2020",1.2455,1.2458,1.2488,1.2443,-0.02%
"Apr 09, 2020",1.2457,1.2385,1.2485,1.2361,0.57%
"Apr 08, 2020",1.2387,1.2331,1.2421,1.2288,0.39%
"Apr 07, 2020",1.2339,1.2232,1.2385,1.2164,0.89%
"Apr 06, 2020",1.223,1.2264,1.2328,1.2208,-0.26%
"Apr 05, 2020",1.223,1.2264,1.2328,1.2208,-0.26%
"Apr 04, 2020",1.223,1.2264,1.2328,1.2208,-0.26%
"Apr 03, 2020",1.2262,1.2396,1.2412,1.2206,-1.07%
"Apr 02, 2020",1.2394,1.2376,1.2476,1.2349,0.13%
"Apr 01, 2020",1.2378,1.2429,1.2443,1.2329,-0.33%
"Mar 31, 2020",1.242,1.2414,1.2474,1.2251,0.01%
"Mar 30, 2020",1.2418,1.2435,1.2469,1.2316,-0.32%
"Mar 29, 2020",1.2418,1.2435,1.2469,1.2316,-0.32%
"Mar 28, 2020",1.2418,1.2435,1.2469,1.2316,-0.32%
"Mar 27, 2020",1.2457,1.2204,1.2486,1.2131,2.09%
"Mar 26, 2020",1.2203,1.1875,1.2232,1.1775,2.66%
"Mar 25, 2020",1.1887,1.176,1.1976,1.1639,1.09%
"Mar 24, 2020",1.1759,1.1549,1.1801,1.1508,1.81%
"Mar 23, 2020",1.155,1.166,1.1741,1.1446,-0.79%
"Mar 22, 2020",1.155,1.166,1.1741,1.1446,-0.79%
"Mar 21, 2020",1.155,1.166,1.1741,1.1446,-0.79%
"Mar 20, 2020",1.1643,1.1487,1.1934,1.1409,1.35%
"Mar 19, 2020",1.1487,1.1619,1.1794,1.1473,-1.04%
"Mar 18, 2020",1.1608,1.2116,1.2129,1.1466,-3.69%
"Mar 17, 2020",1.2052,1.2268,1.2275,1.2002,-1.76%
"Mar 16, 2020",1.2268,1.2285,1.2431,1.2201,-0.07%
"Mar 15, 2020",1.2268,1.2285,1.2431,1.2201,-0.07%
"Mar 14, 2020",1.2268,1.2285,1.2431,1.2201,-0.07%
"Mar 13, 2020",1.2277,1.2573,1.2626,1.2267,-2.35%
"Mar 12, 2020",1.2573,1.2818,1.2851,1.249,-1.94%
"Mar 11, 2020",1.2822,1.2905,1.2978,1.2805,-0.67%
"Mar 10, 2020",1.2908,1.313,1.3134,1.2881,-1.71%
"Mar 09, 2020",1.3133,1.3047,1.3201,1.3031,0.64%
"Mar 08, 2020",1.3133,1.3047,1.3201,1.3031,0.64%
"Mar 07, 2020",1.3133,1.3047,1.3201,1.3031,0.64%
"Mar 06, 2020",1.305,1.2954,1.3058,1.2943,0.73%
"Mar 05, 2020",1.2955,1.2872,1.297,1.2859,0.64%
"Mar 04, 2020",1.2872,1.2812,1.2873,1.277,0.47%
"Mar 03, 2020",1.2812,1.2752,1.2845,1.2738,0.47%
"Mar 02, 2020",1.2752,1.2801,1.2852,1.274,-0.54%
"Mar 01, 2020",1.2752,1.2801,1.2852,1.274,-0.54%
"Feb 28, 2020",1.2821,1.2884,1.292,1.2725,-0.50%
"Feb 27, 2020",1.2886,1.2907,1.2948,1.2859,-0.15%
"Feb 26, 2020",1.2905,1.3006,1.3013,1.2896,-0.78%
"Feb 25, 2020",1.3006,1.2924,1.3019,1.2914,0.60%
